Well,Sample ID,Peak ID,Size (bp),Percent relative concentration,nmole/L,Concentration (ng/uL),RFU,Notes,TIC (ng/uL),TIM (nmole/L),Total concentration (ng/uL),,
"G4","W01241176940",4,5000,,0.0024,0.0073,2014,,0.1072,0.2166,0.3945,,
"G5","W01241176941",1,35,,0.5225,0.0118,1853,,0.3515,1.1167,0.3529,,
"G5","W01241176941",2,409,22.0,0.3594,0.0773,1334,,0.3515,1.1167,0.3529,,
"G5","W01241176941",3,479,50.2,0.5546,0.1766,1587,,0.3515,1.1167,0.3529,,
"G5","W01241176941",4,733,14.5,0.1165,0.0508,2941,,0.3515,1.1167,0.3529,,
"G5","W01241176941",5,824,13.3,0.0862,0.0467,2447,,0.3515,1.1167,0.3529,,
"G5","W01241176941",6,5000,,0.0028,0.0084,2423,,0.3515,1.1167,0.3529,,
"G6","W01241176942",1,35,,0.5369,0.0118,1974,,0.3030,0.9573,0.3065,,
"G6","W01241176942",2,407,19.2,0.2761,0.0582,1163,,0.3030,0.9573,0.3065,,
"G6","W01241176942",3,483,54.3,0.5147,0.1645,1501,,0.3030,0.9573,0.3065,,
"G6","W01241176942",4,741,13.4,0.0919,0.0406,2774,,0.3030,0.9573,0.3065,,
"G6","W01241176942",5,824,13.1,0.0746,0.0396,2175,,0.3030,0.9573,0.3065,,
"G6","W01241176942",6,5000,,0.0028,0.0085,2709,,0.3030,0.9573,0.3065,,
"G7","W01241176943",1,35,,0.5225,0.0118,1741,,0.1304,0.2780,0.4901,,
"G7","W01241176943",2,733,55.9,0.1670,0.0729,4247,,0.1304,0.2780,0.4901,,
"G7","W01241176943",3,816,44.1,0.1110,0.0575,3357,,0.1304,0.2780,0.4901,,
"G7","W01241176943",4,5000,,0.0023,0.0070,1974,,0.1304,0.2780,0.4901,,
"G8","W01241176944",1,35,,0.5369,0.0118,1878,,0.0401,0.0909,0.2611,,
"G8","W01241176944",2,741,100.0,0.0909,0.0401,1780,,0.0401,0.0909,0.2611,,
"G8","W01241176944",3,5000,,0.0025,0.0075,2194,,0.0401,0.0909,0.2611,,
"G9","W01241176945",1,35,,0.5369,0.0118,1861,,0.1225,0.2484,0.4301,,
"G9","W01241176945",2,747,55.4,0.1520,0.0679,4546,,0.1225,0.2484,0.4301,,
"G9","W01241176945",3,837,44.6,0.0964,0.0546,3156,,0.1225,0.2484,0.4301,,
"G9","W01241176945",4,5000,,0.0022,0.0068,2087,,0.1225,0.2484,0.4301,,
"G10","W01241176946",1,35,,0.5521,0.0118,1681,,0.0836,0.1749,0.3069,,
"G10","W01241176946",2,743,52.5,0.0992,0.0439,3362,,0.0836,0.1749,0.3069,,
"G10","W01241176946",3,831,47.5,0.0757,0.0397,2915,,0.0836,0.1749,0.3069,,
"G10","W01241176946",4,5000,,0.0024,0.0073,2597,,0.0836,0.1749,0.3069,,
"G11","W01241176947",1,35,,0.5088,0.0118,1900,,0.0000,0.0000,0.2877,,
"G11","W01241176947",2,5000,,0.0023,0.0070,2101,,0.0000,0.0000,0.2877,,
"G12","W01241176948",1,35,,0.5369,0.0118,2102,,0.0591,0.1249,0.2492,,
"G12","W01241176948",2,735,57.5,0.0776,0.0340,2711,,0.0591,0.1249,0.2492,,
"G12","W01241176948",3,821,42.5,0.0473,0.0251,1723,,0.0591,0.1249,0.2492,,
"G12","W01241176948",4,5000,,0.0027,0.0081,3143,,0.0591,0.1249,0.2492,,
"H1","W01241176949",1,35,,0.5369,0.0118,1867,,0.0642,0.1366,0.2650,,
"H1","W01241176949",2,743,61.0,0.0883,0.0391,2655,,0.0642,0.1366,0.2650,,
"H1","W01241176949",3,831,39.0,0.0483,0.0251,1757,,0.0642,0.1366,0.2650,,
"H1","W01241176949",4,5000,,0.0028,0.0084,2863,,0.0642,0.1366,0.2650,,
